   CNT   SHA     X     Y   RAD    RX    RY     W     H     R     G     B    OP
     0     0    68   238    28    18    29    69    42   219    35   114   0.9
     1     0   136   242    59    20    17    79    95   113   113   176   0.9
     2     1   404    12    62    20    24    66    20    30   243   212   0.1
     3     2   316   197    16    23    18    43    52   117   250     9   0.2
     4     0   402   103    84    11    26    37    48   246    99   110   0.9
     5     1   193   287    14    10    24    23    49   204    63   137   0.9
     6     1    88   185    78    15    26    94    73   185   140   247   0.8
     7     0   338    80    12    15    29    75    24   109    42   126   0.1
     8     1   303   167    30    22    12    12    85   245   123   227   0.2
     9     2   258   259    13    24    15    87    11   133    68   224   0.9
